frame_idx,nombre_archivo,brisque_orig,brisque_sin_hud,niqe_orig,niqe_sin_hud,sigma_orig,sigma_sin_hud,var_lap_orig,var_lap_sin_hud
12781,frame_012781.png,46.27,49.78,6.087,5.239,1.4826,1.4826,1208.37,497.17
12841,frame_012841.png,35.2,38.8,5.068,4.57,2.9652,2.9652,1390.23,481.07
12901,frame_012901.png,50.05,57.29,7.171,5.875,1.4826,1.4826,903.22,292.41
12961,frame_012961.png,33.73,36.89,5.732,5.256,2.9652,2.9652,1507.13,524.74
13021,frame_013021.png,40.21,43.88,5.769,5.245,2.9652,2.9652,1294.05,471.01
13081,frame_013081.png,41.23,46.47,5.992,5.438,1.4826,1.4826,1264.91,485.79
13141,frame_013141.png,34.34,39.79,5.277,5.18,2.9652,1.4826,1107.78,387.94
13201,frame_013201.png,41.55,46.84,5.575,5.376,1.4826,1.4826,1332.16,487.78
13261,frame_013261.png,40.91,48.04,6.323,6.458,2.9652,2.9652,1324.95,491.08
13321,frame_013321.png,37.01,42.32,5.137,5.117,2.9652,2.9652,1310.85,454.79
13381,frame_013381.png,45.14,48.2,5.928,5.755,1.4826,1.4826,1176.08,509.15
13441,frame_013441.png,37.51,46.03,5.715,5.744,1.4826,1.4826,1085.0,345.97
13501,frame_013501.png,40.04,47.47,5.918,5.658,1.4826,1.4826,1129.14,351.12
13561,frame_013561.png,37.66,48.08,5.976,5.556,1.4826,1.4826,1445.51,500.69
13621,frame_013621.png,36.38,42.57,5.579,5.269,1.4826,1.4826,1361.69,459.1
13681,frame_013681.png,63.13,68.18,9.196,6.924,1.4826,1.4826,1067.98,539.67
13741,frame_013741.png,52.82,49.49,5.691,5.036,4.4477,4.4477,876.13,438.01
13801,frame_013801.png,53.13,56.02,10.789,7.883,1.4826,1.4826,1017.59,504.1
13861,frame_013861.png,35.12,39.06,5.617,5.215,2.9652,2.9652,1277.77,431.57
13921,frame_013921.png,42.92,50.4,6.492,6.338,1.4826,1.4826,1171.54,375.4
13981,frame_013981.png,44.25,40.03,5.339,4.886,2.9652,2.9652,788.92,418.78
14041,frame_014041.png,31.62,38.28,4.887,4.935,2.9652,2.9652,1014.97,320.97
14101,frame_014101.png,30.32,35.76,4.582,4.882,2.9652,2.9652,942.29,289.03
14161,frame_014161.png,31.82,36.2,4.587,4.609,2.9652,2.9652,920.01,304.55
