frame_idx,nombre_archivo,brisque_orig,brisque_sin_hud,niqe_orig,niqe_sin_hud,sigma_orig,sigma_sin_hud,var_lap_orig,var_lap_sin_hud,brisque_denoised,niqe_denoised,sigma_denoised,var_lap_denoised
4681,frame_04681.png,34.11,15.2,6.444,4.517,10.3781,8.8955,1419.44,168.66,22.23,5.864,7.4129,153.31
4711,frame_04711.png,52.35,38.79,7.316,6.243,42.9948,34.0993,5327.02,3400.96,28.17,6.917,32.6168,3108.71
4741,frame_04741.png,28.46,23.86,6.094,5.778,7.4129,5.9303,1513.08,346.26,21.65,6.301,7.4129,335.05
4771,frame_04771.png,22.28,19.14,5.889,5.704,11.8606,10.3781,1688.98,544.12,18.99,6.291,10.3781,508.34
4801,frame_04801.png,27.53,24.37,5.806,5.818,10.3781,8.8955,1774.1,640.63,23.36,6.26,8.8955,600.99
4831,frame_04831.png,27.3,24.38,5.69,5.614,8.8955,7.4129,1611.35,490.0,22.67,6.279,7.4129,460.13
4861,frame_04861.png,33.99,25.31,5.251,3.434,5.9303,5.9303,1277.83,288.02,20.11,4.007,5.9303,280.14
4891,frame_04891.png,23.36,28.19,5.979,6.239,8.8955,7.4129,1343.79,205.17,18.66,6.248,7.4129,181.18
4921,frame_04921.png,19.35,7.82,5.847,4.546,5.9303,5.9303,1195.09,135.11,11.88,6.547,5.9303,137.45
4951,frame_04951.png,18.97,10.82,6.728,4.751,4.4477,4.4477,1200.38,117.67,11.97,6.606,5.9303,121.9
4981,frame_04981.png,18.17,6.47,5.595,5.562,11.8606,8.8955,942.83,189.75,19.56,8.364,8.8955,158.18
5011,frame_05011.png,55.26,73.81,6.971,8.965,1.4826,1.4826,2368.58,104.51,49.81,7.883,1.4826,124.66
5041,frame_05041.png,26.34,18.59,4.293,3.132,10.3781,7.4129,1417.02,229.16,15.61,3.456,8.8955,230.97
5071,frame_05071.png,27.05,17.6,4.266,3.267,8.8955,7.4129,1402.53,215.09,14.32,3.698,7.4129,218.24
5101,frame_05101.png,37.8,29.89,5.628,3.243,5.9303,5.9303,1212.06,256.75,25.18,3.431,5.9303,240.0
5131,frame_05131.png,28.77,22.08,4.789,3.569,8.8955,7.4129,1309.0,240.16,17.97,3.903,7.4129,226.47
5161,frame_05161.png,27.0,19.09,4.135,3.299,11.8606,7.4129,1568.4,431.3,16.3,3.618,7.4129,420.03
5191,frame_05191.png,38.33,29.73,4.234,3.376,8.8955,7.4129,1553.55,539.03,27.34,3.61,7.4129,523.9
5221,frame_05221.png,38.81,31.33,3.893,3.33,10.3781,5.9303,1581.38,535.22,27.72,3.553,7.4129,519.04
5251,frame_05251.png,36.91,25.78,3.861,3.002,10.3781,7.4129,1604.29,565.17,24.15,3.417,7.4129,550.94
5281,frame_05281.png,34.17,26.42,5.33,4.101,4.4477,4.4477,1414.97,431.04,18.7,4.289,4.4477,425.33
5311,frame_05311.png,30.64,19.47,3.775,2.899,7.4129,5.9303,1462.86,487.96,15.29,3.572,5.9303,471.94
5341,frame_05341.png,31.88,18.81,3.256,2.782,8.8955,5.9303,1477.66,496.31,17.96,3.276,5.9303,480.38
5371,frame_05371.png,33.61,21.92,3.9,2.87,7.4129,5.9303,1440.23,487.05,19.47,3.431,5.9303,469.95
5401,frame_05401.png,33.57,19.21,3.302,2.797,10.3781,5.9303,1519.14,511.27,19.42,3.407,5.9303,495.9
5431,frame_05431.png,40.73,35.95,6.612,4.452,2.9652,2.9652,1290.49,397.86,27.17,5.018,2.9652,394.27
5461,frame_05461.png,21.05,15.38,4.363,3.498,7.4129,5.9303,1158.38,134.01,14.45,4.662,5.9303,126.73
5491,frame_05491.png,21.24,16.89,4.678,3.626,5.9303,4.4477,1190.19,118.41,8.69,5.238,4.4477,111.75
5521,frame_05521.png,19.48,11.04,6.098,4.515,5.9303,4.4477,1150.39,80.25,8.89,6.541,4.4477,79.52
5551,frame_05551.png,19.53,10.65,7.272,5.034,4.4477,4.4477,1266.29,94.61,10.33,7.07,4.4477,100.04
5581,frame_05581.png,21.77,13.12,4.463,3.208,7.4129,7.4129,1266.6,164.98,11.69,4.049,7.4129,161.32
5611,frame_05611.png,20.23,10.2,4.949,3.859,5.9303,5.9303,1308.85,116.27,6.58,5.689,5.9303,114.97
5641,frame_05641.png,22.59,12.25,4.952,3.991,5.9303,5.9303,1341.27,117.5,9.82,5.563,5.9303,117.06
5671,frame_05671.png,19.46,9.75,7.09,4.982,5.9303,4.4477,1120.41,86.86,9.64,7.299,4.4477,90.01
5701,frame_05701.png,22.23,13.6,6.767,4.493,5.9303,4.4477,1277.51,106.36,11.95,5.839,4.4477,112.91
5731,frame_05731.png,23.2,13.85,5.685,3.963,5.9303,5.9303,1238.69,124.57,12.87,5.184,5.9303,126.68
5761,frame_05761.png,22.66,12.9,4.347,3.559,8.8955,7.4129,1436.23,174.33,11.66,4.519,7.4129,175.15
5791,frame_05791.png,26.07,18.7,5.1,3.721,7.4129,5.9303,1363.01,153.41,15.33,4.527,5.9303,155.39
5821,frame_05821.png,25.54,19.05,4.789,3.598,7.4129,5.9303,1334.29,164.8,15.44,4.392,5.9303,164.89
5851,frame_05851.png,25.8,19.14,4.677,3.564,8.8955,5.9303,1298.58,177.76,15.99,4.116,5.9303,174.49
